               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1133,            0.016434,                   0,            0.001466,             0.26327,           0.0014257,          0.00033746,             0.09722,            0.013867,                   0,              0.0757,              0.0027,              0.0027
                   1,             0.09259,            0.017148,                   0,              0.4538,             0.16773,             0.20996,            0.054537,            0.080119,            0.012759,                   0,            0.050482,           0.0054818,           0.0054818
                   2,            0.081314,            0.015703,                   0,             0.56518,              0.1573,             0.25939,            0.068244,            0.068888,            0.011967,                   0,            0.025245,           0.0082452,           0.0082452
                   3,            0.072774,            0.015585,                   0,             0.58111,             0.34166,             0.38093,             0.11916,             0.07872,           0.0098779,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.069085,            0.016472,                   0,             0.66944,             0.36306,             0.45504,             0.16242,            0.061874,            0.010638,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.057424,            0.014991,                   0,             0.53224,             0.53503,             0.52671,             0.20289,            0.050398,            0.010919,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.052981,            0.014643,                   0,              0.7144,             0.64544,             0.70945,             0.30142,            0.050084,            0.009379,                   0,            0.009835,            0.009835,            0.009835
