               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,             0.03098,           0.0066521,                   0,             0.95847,             0.98514,             0.97521,             0.60922,            0.025685,           0.0043474,                   0,           0.0092872,           0.0092872,           0.0092872
                  38,            0.030702,           0.0071253,                   0,             0.93874,             0.97609,             0.97245,             0.60035,            0.026019,           0.0042533,                   0,           0.0092674,           0.0092674,           0.0092674
                  39,             0.02879,           0.0064961,                   0,             0.93892,             0.97877,             0.97644,             0.63012,            0.025697,           0.0041266,                   0,           0.0092476,           0.0092476,           0.0092476
                  40,            0.029951,           0.0067858,                   0,             0.93906,             0.98147,             0.98253,             0.63906,             0.02496,           0.0041183,                   0,           0.0092278,           0.0092278,           0.0092278
                  41,            0.029408,           0.0067409,                   0,             0.94238,             0.97221,             0.97817,             0.63664,            0.025265,           0.0040479,                   0,            0.009208,            0.009208,            0.009208
                  42,            0.029204,           0.0065193,                   0,             0.95863,             0.98089,             0.98357,             0.64019,            0.025098,           0.0040489,                   0,           0.0091882,           0.0091882,           0.0091882
                  43,            0.031867,           0.0069017,                   0,             0.96188,             0.97665,             0.97393,             0.61426,            0.025608,           0.0040177,                   0,           0.0091684,           0.0091684,           0.0091684
                  44,            0.029908,            0.006418,                   0,             0.94492,             0.97452,                0.98,             0.63196,            0.025709,           0.0040899,                   0,           0.0091486,           0.0091486,           0.0091486
                  45,               0.028,           0.0067131,                   0,             0.95582,             0.97028,             0.97544,             0.63727,            0.024518,           0.0039965,                   0,           0.0091288,           0.0091288,           0.0091288
                  46,            0.028315,           0.0066177,                   0,             0.95077,             0.98401,              0.9852,             0.66989,             0.02345,            0.003938,                   0,            0.009109,            0.009109,            0.009109
                  47,             0.02861,           0.0064335,                   0,             0.95298,              0.9898,             0.98615,             0.66603,            0.023776,           0.0039676,                   0,           0.0090892,           0.0090892,           0.0090892
                  48,            0.030218,           0.0068024,                   0,             0.95648,             0.98089,             0.98834,             0.65654,            0.025285,           0.0040795,                   0,           0.0090694,           0.0090694,           0.0090694
                  49,            0.027198,             0.00644,                   0,             0.96362,             0.97877,             0.98594,             0.63981,            0.025382,           0.0041022,                   0,           0.0090496,           0.0090496,           0.0090496
                  50,            0.027897,           0.0065242,                   0,             0.96069,             0.98594,                0.99,             0.65103,            0.025389,           0.0039495,                   0,           0.0090298,           0.0090298,           0.0090298
                  51,            0.030045,           0.0063188,                   0,             0.96533,             0.97665,             0.98897,             0.65547,            0.024111,           0.0039171,                   0,             0.00901,             0.00901,             0.00901
                  52,            0.028673,            0.006441,                   0,              0.9647,             0.98628,             0.99044,             0.67176,            0.023115,           0.0038629,                   0,           0.0089902,           0.0089902,           0.0089902
                  53,             0.02685,           0.0065005,                   0,             0.95649,             0.98017,             0.98473,             0.67279,            0.022869,             0.00386,                   0,           0.0089704,           0.0089704,           0.0089704
                  54,            0.027841,            0.006598,                   0,             0.96838,             0.98514,               0.983,             0.65644,            0.023003,           0.0038828,                   0,           0.0089506,           0.0089506,           0.0089506
                  55,            0.026568,           0.0065674,                   0,             0.97266,             0.98196,             0.98795,             0.66605,            0.023003,            0.003894,                   0,           0.0089308,           0.0089308,           0.0089308
                  56,            0.025611,           0.0058726,                   0,             0.96182,             0.98514,             0.98884,             0.67859,            0.022596,            0.003828,                   0,            0.008911,            0.008911,            0.008911
                  57,            0.027564,           0.0062293,                   0,             0.96657,             0.98301,             0.98905,             0.69672,            0.022223,           0.0037917,                   0,           0.0088912,           0.0088912,           0.0088912
