               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1133,            0.016434,                   0,            0.001466,             0.26327,           0.0014257,          0.00033746,             0.09722,            0.013867,                   0,              0.0757,              0.0027,              0.0027
                   1,            0.092336,            0.017171,                   0,              0.4104,              0.2202,             0.22938,            0.058038,            0.082735,            0.012217,                   0,            0.050446,           0.0054456,           0.0054456
                   2,            0.081402,            0.015594,                   0,             0.36666,             0.33333,             0.26034,            0.082095,            0.066221,            0.012148,                   0,            0.025136,           0.0081357,           0.0081357
                   3,            0.073498,            0.015362,                   0,             0.72828,             0.19917,             0.40253,              0.1258,            0.070448,            0.010848,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.064279,            0.016851,                   0,             0.58783,               0.433,             0.48617,             0.16332,            0.057091,            0.012111,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.054674,            0.014604,                   0,              0.7275,              0.5895,             0.66177,              0.2795,            0.046225,            0.010732,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.052623,            0.014144,                   0,              0.7735,             0.67091,             0.74915,             0.33344,            0.047733,           0.0089714,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.048357,            0.012782,                   0,             0.76792,             0.66739,             0.77935,             0.38588,            0.043903,           0.0080698,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.047749,            0.011559,                   0,             0.81464,             0.79312,             0.86476,             0.41028,            0.039097,           0.0076678,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.043088,            0.010176,                   0,             0.86499,             0.77495,             0.86917,              0.4751,            0.035533,           0.0070406,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.043648,           0.0099741,                   0,             0.89736,             0.82378,             0.88289,             0.42427,            0.038446,           0.0061757,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.044247,            0.010837,                   0,             0.90674,             0.84636,             0.92132,             0.48616,            0.034581,           0.0059537,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.041496,           0.0090219,                   0,              0.9275,             0.87261,              0.9439,             0.52969,            0.033144,              0.0056,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.037994,           0.0084904,                   0,             0.93517,             0.88323,             0.95675,             0.54527,            0.033239,           0.0054274,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.037852,           0.0086186,                   0,              0.8818,             0.91867,             0.96195,             0.50062,            0.032831,           0.0053461,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.036636,           0.0087402,                   0,             0.89949,             0.87261,             0.93833,             0.49669,            0.032559,            0.005214,                   0,            0.008614,            0.008614,            0.008614
                  16,             0.03842,           0.0081762,                   0,             0.91175,             0.92128,             0.95531,              0.5079,            0.031437,           0.0050894,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.037687,           0.0081454,                   0,             0.92219,             0.92357,              0.9638,              0.5573,            0.030065,            0.004984,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.034225,           0.0080234,                   0,             0.92036,             0.93206,             0.97112,             0.52976,            0.031807,           0.0048943,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.037466,           0.0078126,                   0,             0.90715,             0.92994,             0.95466,             0.54779,            0.030716,           0.0051878,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.033876,           0.0079782,                   0,             0.91018,             0.89809,             0.94881,               0.537,            0.031162,           0.0050499,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.034495,           0.0076774,                   0,             0.90841,             0.92781,             0.95381,             0.54841,            0.029474,           0.0048583,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.034168,           0.0080508,                   0,             0.91717,              0.9404,             0.96545,             0.59216,            0.028728,           0.0048381,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.033949,           0.0076735,                   0,             0.90394,             0.93899,             0.95775,             0.58478,            0.028064,           0.0047391,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.033395,           0.0078716,                   0,             0.90808,             0.92285,             0.95414,             0.59044,            0.027987,           0.0046964,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.032138,           0.0075461,                   0,             0.92433,             0.92569,             0.94908,             0.55961,            0.028817,           0.0046662,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.031888,           0.0076266,                   0,               0.948,             0.93206,             0.96458,             0.56123,            0.029052,           0.0045498,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.032549,           0.0077351,                   0,             0.93016,             0.96145,             0.97271,             0.62175,            0.026798,           0.0045216,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.031311,           0.0073876,                   0,             0.93413,             0.95754,             0.95302,             0.57544,            0.027788,           0.0044904,                   0,            0.007327,            0.007327,            0.007327
                  29,             0.02952,           0.0068679,                   0,             0.94105,             0.95329,             0.96857,             0.60222,            0.027547,           0.0043978,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.030284,           0.0072608,                   0,             0.95015,             0.93085,             0.96156,             0.58485,            0.027235,           0.0043929,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.030117,           0.0069451,                   0,             0.94116,             0.96178,             0.97605,             0.63259,            0.025806,            0.004288,                   0,             0.00703,             0.00703,             0.00703
